央视频道,#genre#
﻿CCTV-1,http://125.34.18.5:8888/rtp/239.3.1.129:8008
CCTV-2,http://125.34.18.5:8888/rtp/239.3.1.60:8084
CCTV-3,http://125.34.18.5:8888/rtp/239.3.1.172:8001
CCTV-4,http://125.34.18.5:8888/rtp/239.3.1.105:8092
CCTV-5,http://125.34.18.5:8888/rtp/239.3.1.173:8001
CCTV-5+,http://125.34.18.5:8888/rtp/239.3.1.130:8004
CCTV-6,http://125.34.18.5:8888/rtp/239.3.1.174:8001
CCTV-7,http://125.34.18.5:8888/rtp/239.3.1.61:8104
CCTV-8,http://125.34.18.5:8888/rtp/239.3.1.175:8001
CCTV-9,http://125.34.18.5:8888/rtp/239.3.1.62:8112
CCTV-10,http://125.34.18.5:8888/rtp/239.3.1.63:8116
CCTV-11,http://125.34.18.5:8888/rtp/239.3.1.152:8120
CCTV-12,http://125.34.18.5:8888/rtp/239.3.1.64:8124
CCTV-13,http://125.34.18.5:8888/rtp/239.3.1.124:8128
CCTV-14,http://125.34.18.5:8888/rtp/239.3.1.65:8132
CCTV-15,http://125.34.18.5:8888/rtp/239.3.1.153:8136
CCTV-16,http://125.34.18.5:8888/rtp/239.3.1.183:8001
CCTV-16,http://125.34.18.5:8888/rtp/239.3.1.184:8001
CCTV-17,http://125.34.18.5:8888/rtp/239.3.1.151:8144

卫视频道,#genre#
东方卫视HD,http://125.34.18.5:8888/rtp/239.3.1.136:8032
安徽卫视HD,http://125.34.18.5:8888/rtp/239.3.1.211:8064
河南卫视,http://125.34.18.5:8888/rtp/239.3.1.27:8128
湖南卫视HD,http://125.34.18.5:8888/rtp/239.3.1.132:8012
浙江卫视HD,http://125.34.18.5:8888/rtp/239.3.1.137:8036
江苏卫视HD,http://125.34.18.5:8888/rtp/239.3.1.135:8028
北京卫视HD,http://125.34.18.5:8888/rtp/239.3.1.241:8000
天津卫视HD,http://125.34.18.5:8888/rtp/239.3.1.141:1234
河北卫视HD,http://125.34.18.5:8888/rtp/239.3.1.148:8072
重庆卫视HD,http://125.34.18.5:8888/rtp/239.3.1.122:8160
山东卫视HD,http://125.34.18.5:8888/rtp/239.3.1.209:8052
黑龙江卫视HD,http://125.34.18.5:8888/rtp/239.3.1.133:8016
吉林卫视HD,http://125.34.18.5:8888/rtp/239.3.1.240:8172
辽宁卫视HD,http://125.34.18.5:8888/rtp/239.3.1.210:8056
湖北卫视HD,http://125.34.18.5:8888/rtp/239.3.1.138:8044
四川卫视,http://125.34.18.5:8888/rtp/239.3.1.29:8288
贵州卫视HD,http://125.34.18.5:8888/rtp/239.3.1.149:8076
江西卫视HD,http://125.34.18.5:8888/rtp/239.3.1.123:8164
陕西卫视,http://125.34.18.5:8888/rtp/239.3.1.41:8140
山西卫视,http://125.34.18.5:8888/rtp/239.3.1.42:8172
广西卫视,http://125.34.18.5:8888/rtp/239.3.1.39:8300
宁夏卫视,http://125.34.18.5:8888/rtp/239.3.1.46:8124
新疆卫视,http://125.34.18.5:8888/rtp/239.3.1.48:8160
内蒙古卫视,http://125.34.18.5:8888/rtp/239.3.1.43:8176
云南卫视,http://125.34.18.5:8888/rtp/239.3.1.26:8108
兵团卫视,http://125.34.18.5:8888/rtp/239.3.1.144:4120
厦门卫视,http://125.34.18.5:8888/rtp/239.3.1.143:4120
东南卫视HD,http://125.34.18.5:8888/rtp/239.3.1.156:8148
南方卫视,http://125.34.18.5:8888/rtp/239.3.1.161:8001
海南卫视,http://125.34.18.5:8888/rtp/239.3.1.45:8304
广东卫视HD,http://125.34.18.5:8888/rtp/239.3.1.142:8048
深圳卫视HD,http://125.34.18.5:8888/rtp/239.3.1.134:8020
甘肃卫视,http://125.34.18.5:8888/rtp/239.3.1.49:8188
青海卫视,http://125.34.18.5:8888/rtp/239.3.1.44:8184
西藏卫视,http://125.34.18.5:8888/rtp/239.3.1.47:8164
三沙卫视,http://125.34.18.5:8888/rtp/239.3.1.155:4120
河南卫视,http://111.75.151.236:50085/newlive/live/hls/39/live.m3u8
河南卫视,http://140.249.247.163/1142f717c2e0326d526ab914ec68dd30.v.smtcdns.net/t-fjnetv51.live.bestvcdn.com.cn/live/program/live/hnwshd8m/8000000/mnf.m3u8

少儿频道,#genre#
BRTV卡酷少儿HD,http://125.34.18.5:8888/rtp/239.3.1.189:8000
嘉佳卡通,http://125.34.18.5:8888/rtp/239.3.1.147:9268
金鹰卡通,http://125.34.18.5:8888/rtp/239.3.1.51:9252
少儿动画,http://125.34.18.5:8888/rtp/239.3.1.199:9000
动画,http://125.34.18.5:8888/rtp/239.3.1.80:4120
淘BabyHD,http://125.34.18.5:8888/rtp/239.3.1.238:8001

早教,http://125.34.18.5:8888/rtp/239.3.1.79:4120
好学生,http://125.34.18.5:8888/rtp/239.3.1.81:4120
国学,http://125.34.18.5:8888/rtp/239.3.1.77:4120
武术,http://125.34.18.5:8888/rtp/239.3.1.87:4120
萌宠TVHD,http://125.34.18.5:8888/rtp/239.3.1.102:8001

电影电视剧,#genre#
