央视频道,#genre#
CCTV-1综合,http://221.219.77.170:4000/rtp/239.3.1.129:8008
CCTV-1综合,http://114.252.225.231:8000/rtp/239.3.1.129:8008
CCTV-1综合,http://20.254.1.9/PLTV/88888888/224/3221225703/10000100000000060000000000035351_0.smil/index.m3u8?fmt=ts2hls&servicetype=2&icpid=SSPID&accounttype=1&limitflux=-1&limitdur=-1&GuardEncType=2&accountinfo=Uqeq%2Boy1dBELxCuFvRpa8czSquKOOo%2FFQ5zRdldos3PBFGcZsESCluF%2FGBAW8LefJaKHbXhBoFItRV%2F7vFw%2BjITKf0d6isZF3YWGVGkjqKV%2BW7Bhzc0iaHEWEnLae%2FlPNfmvBh0ZA%2FQDyl%2BElHmTxA%3D%3D%3A20200106134815%2CIPTV00193335%2C112.64.29.18%2C20200106134815%2CUmai%3ACHAN%2F111128%40BESTV.SMG.SMG%2C389B98319D02CA30AD44A33B2CA755AF%2C-1%2C1%2C1%2C%2C%2C7%2C%2C%2C%2C4%2CEND
CCTV-1综合,http://117.141.149.101:4431/tsfile/live/faacts/1010_1.m3u8
CCTV-1综合,http://117.141.149.101:9901/tsfile/live/1010_1.m3u8
CCTV-1综合,http://111.11.98.205:9900/hls/1/index.m3u8
CCTV-1综合,https://node1.olelive.com:6443/live/CCTV1HD/hls.m3u8
CCTV-1综合,http://124.67.14.4:8888/udp/239.125.2.66:4120
CCTV-1综合,http://221.1.210.106:8053/tsfile/live/0001_1.m3u8
CCTV-1综合,http://113.133.232.82:8008/rtp/239.112.205.59:5140
CCTV-1综合,http://php.jdshipin.com:8880/bst.php?id=cctv1hd/4000000
CCTV-1综合,http://222.83.181.3:9901/tsfile/live/1005_1.m3u8

CCTV2,http://111.11.98.205:9900/hls/2/index.m3u8
CCTV2,https://node1.olelive.com:6443/live/CCTV2HD/hls.m3u8
CCTV2,http://125.210.152.19:9123/live/hzgq-cctv2gq-h264.m3u8

CCTV3,http://221.219.77.170:4000/rtp/239.3.1.172:8001
CCTV3,http://114.252.225.231:8000/rtp/239.3.1.172:8001
