央视频道,#genre#
CCTV1HD,http://222.211.227.103:2345/udp/239.93.0.184:5140
CCTV2HD,http://222.211.227.103:2345/udp/239.93.1.23:6000
CCTV3HD,http://222.211.227.103:2345/udp/239.93.1.11:2223
CCTV4HD,http://222.211.227.103:2345/udp/239.93.1.105:5140
CCTV5HD,http://222.211.227.103:2345/udp/239.93.42.37:5140
CCTV6HD,http://222.211.227.103:2345/udp/239.93.1.13:2226
CCTV7HD,http://222.211.227.103:2345/udp/239.93.1.67:5140
CCTV8HD,http://222.211.227.103:2345/udp/239.93.42.39:5140
CCTV9HD,http://222.211.227.103:2345/udp/239.93.1.24:5140
CCTV10HD,http://222.211.227.103:2345/udp/239.93.1.28:5140
CCTV11HD,http://222.211.227.103:2345/udp/239.93.0.102:5140
CCTV12HD,http://222.211.227.103:2345/udp/239.93.1.30:8124
CCTV13HD,http://222.211.227.103:2345/udp/239.93.0.66:5140
CCTV14HD,http://222.211.227.103:2345/udp/239.93.1.29:6000
CCTV15HD,http://222.211.227.103:2345/udp/239.93.0.103:5140
CCTV17HD,http://222.211.227.103:2345/udp/239.93.0.92:5140
CCTV5+HD,http://222.211.227.103:2345/udp/239.93.1.36:8004

卫视频道,#genre#
河南卫视HD,http://222.211.227.103:2345/udp/239.93.42.45:5140
安徽卫视HD,http://222.211.227.103:2345/udp/239.93.1.106:5140
东方卫视HD,http://222.211.227.103:2345/udp/239.93.0.123:5140
湖南卫视HD,http://222.211.227.103:2345/udp/239.93.0.88:5140
江苏卫视HD,http://222.211.227.103:2345/udp/239.93.0.89:5140
浙江卫视HD,http://222.211.227.103:2345/udp/239.93.0.124:5140
辽宁卫视HD,http://222.211.227.103:2345/udp/239.93.1.108:5140
北京卫视HD,http://222.211.227.103:2345/udp/239.93.0.180:5140
天津卫视HD,http://222.211.227.103:2345/udp/239.93.0.167:5140
四川卫视HD,http://222.211.227.103:2345/udp/239.93.0.20:1235
山东卫视HD,http://222.211.227.103:2345/udp/239.93.0.168:5140
江西卫视HD,http://222.211.227.103:2345/udp/239.93.0.134:5140
东南卫视HD,http://222.211.227.103:2345/udp/239.93.0.42:5140
黑龙江卫视HD,http://222.211.227.103:2345/udp/239.93.0.183:5140
重庆卫视HD,http://222.211.227.103:2345/udp/239.93.1.107:5140
贵州卫视HD,http://222.211.227.103:2345/udp/239.93.0.131:5140
湖北卫视HD,http://222.211.227.103:2345/udp/239.93.0.250:5140
深圳卫视HD,http://222.211.227.103:2345/udp/239.93.0.182:5140
广东卫视HD,http://222.211.227.103:2345/udp/239.93.0.181:5140
河北卫视HD,http://222.211.227.103:2345/udp/239.93.0.132:5140
云南卫视HD,http://222.211.227.103:2345/udp/239.93.1.174:5140
广西卫视HD,http://222.211.227.103:2345/udp/239.93.42.46:5140
云南卫视,http://222.211.227.103:2345/udp/239.93.0.174:5140
吉林卫视HD,http://222.211.227.103:2345/udp/239.93.0.248:5140
甘肃卫视HD,http://222.211.227.103:2345/udp/239.93.0.81:5140
峨眉电影HD,http://222.211.227.103:2345/udp/239.93.0.252:5140
