央视频道,#genre#
﻿CCTV-1,http://125.34.18.5:8888/rtp/239.3.1.129:8008
CCTV-2,http://125.34.18.5:8888/rtp/239.3.1.60:8084
CCTV-3,http://125.34.18.5:8888/rtp/239.3.1.172:8001
CCTV-4,http://125.34.18.5:8888/rtp/239.3.1.105:8092
CCTV-5,http://125.34.18.5:8888/rtp/239.3.1.173:8001
CCTV-5+,http://125.34.18.5:8888/rtp/239.3.1.130:8004
CCTV-6,http://125.34.18.5:8888/rtp/239.3.1.174:8001
CCTV-7,http://125.34.18.5:8888/rtp/239.3.1.61:8104
CCTV-8,http://125.34.18.5:8888/rtp/239.3.1.175:8001
CCTV-9,http://125.34.18.5:8888/rtp/239.3.1.62:8112
CCTV-10,http://125.34.18.5:8888/rtp/239.3.1.63:8116
CCTV-11,http://125.34.18.5:8888/rtp/239.3.1.152:8120
CCTV-12,http://125.34.18.5:8888/rtp/239.3.1.64:8124
CCTV-13,http://125.34.18.5:8888/rtp/239.3.1.124:8128
CCTV-14,http://125.34.18.5:8888/rtp/239.3.1.65:8132
CCTV-15,http://125.34.18.5:8888/rtp/239.3.1.153:8136
CCTV-16,http://125.34.18.5:8888/rtp/239.3.1.183:8001
CCTV-16,http://125.34.18.5:8888/rtp/239.3.1.184:8001
CCTV-17,http://125.34.18.5:8888/rtp/239.3.1.151:8144

﻿CCTV-1,http://123.115.195.226:8888/rtp/239.3.1.129:8008
CCTV-2,http://123.115.195.226:8888/rtp/239.3.1.60:8084
CCTV-3,http://123.115.195.226:8888/rtp/239.3.1.172:8001
CCTV-4,http://123.115.195.226:8888/rtp/239.3.1.105:8092
CCTV-5,http://123.115.195.226:8888/rtp/239.3.1.173:8001
CCTV-5+,http://123.115.195.226:8888/rtp/239.3.1.130:8004
CCTV-6,http://123.115.195.226:8888/rtp/239.3.1.174:8001
CCTV-7,http://123.115.195.226:8888/rtp/239.3.1.61:8104
CCTV-8,http://123.115.195.226:8888/rtp/239.3.1.175:8001
CCTV-9,http://123.115.195.226:8888/rtp/239.3.1.62:8112
CCTV-10,http://123.115.195.226:8888/rtp/239.3.1.63:8116
CCTV-11,http://123.115.195.226:8888/rtp/239.3.1.152:8120
CCTV-12,http://123.115.195.226:8888/rtp/239.3.1.64:8124
CCTV-13,http://123.115.195.226:8888/rtp/239.3.1.124:8128
CCTV-14,http://123.115.195.226:8888/rtp/239.3.1.65:8132
CCTV-15,http://123.115.195.226:8888/rtp/239.3.1.153:8136
CCTV-16,http://123.115.195.226:8888/rtp/239.3.1.183:8001
CCTV-16,http://123.115.195.226:8888/rtp/239.3.1.184:8001
CCTV-17,http://123.115.195.226:8888/rtp/239.3.1.151:8144

﻿CCTV-1,http://61.51.138.93:8888/rtp/239.3.1.129:8008
CCTV-2,http://61.51.138.93:8888/rtp/239.3.1.60:8084
CCTV-3,http://61.51.138.93:8888/rtp/239.3.1.172:8001
CCTV-4,http://61.51.138.93:8888/rtp/239.3.1.105:8092
CCTV-5,http://61.51.138.93:8888/rtp/239.3.1.173:8001
CCTV-5+,http://61.51.138.93:8888/rtp/239.3.1.130:8004
CCTV-6,http://61.51.138.93:8888/rtp/239.3.1.174:8001
CCTV-7,http://61.51.138.93:8888/rtp/239.3.1.61:8104
CCTV-8,http://61.51.138.93:8888/rtp/239.3.1.175:8001
CCTV-9,http://61.51.138.93:8888/rtp/239.3.1.62:8112
CCTV-10,http://61.51.138.93:8888/rtp/239.3.1.63:8116
CCTV-11,http://61.51.138.93:8888/rtp/239.3.1.152:8120
CCTV-12,http://61.51.138.93:8888/rtp/239.3.1.64:8124
CCTV-13,http://61.51.138.93:8888/rtp/239.3.1.124:8128
CCTV-14,http://61.51.138.93:8888/rtp/239.3.1.65:8132
CCTV-15,http://61.51.138.93:8888/rtp/239.3.1.153:8136
CCTV-16,http://61.51.138.93:8888/rtp/239.3.1.183:8001
CCTV-16,http://61.51.138.93:8888/rtp/239.3.1.184:8001
CCTV-17,http://61.51.138.93:8888/rtp/239.3.1.151:8144


CCTV-1,http://nas.tuyuannet.cn:8800/rtp/239.37.0.8:5540
CCTV-1,http://nas.tuyuannet.cn:8800/rtp/239.37.0.254:5540
CCTV-2,http://nas.tuyuannet.cn:8800/rtp/239.37.0.3:5540
CCTV-3,http://nas.tuyuannet.cn:8800/rtp/239.37.0.231:5540
CCTV-5,http://nas.tuyuannet.cn:8800/rtp/239.37.0.232:5540
CCTV-5+,http://nas.tuyuannet.cn:8800/rtp/239.37.0.121:5540
CCTV-6,http://nas.tuyuannet.cn:8800/rtp/239.37.0.233:5540
CCTV-7,http://nas.tuyuannet.cn:8800/rtp/239.37.0.2:5540
CCTV-8,http://nas.tuyuannet.cn:8800/rtp/239.37.0.234:5540
CCTV-9,http://nas.tuyuannet.cn:8800/rtp/239.37.0.1:5540
CCTV-10,http://nas.tuyuannet.cn:8800/rtp/239.37.0.7:5540
CCTV-11,http://nas.tuyuannet.cn:8800/rtp/239.37.0.227:5540
